Periode,Curah Hujan (mm)
2022-01,277.75
2022-02,284.38
2022-03,346.85
2022-04,198.2
2022-05,190.29
2022-06,117.12
2022-07,88.68
2022-08,50.11
2022-09,65.69
2022-10,237.65
2022-11,311.1
2022-12,298.9
2023-01,226.53
2023-02,401.48
2023-03,244.02
2023-04,204.14
2023-05,75.03
2023-06,20.14
2023-07,57.03
2023-08,11.47
2023-09,3.09
2023-10,48.66
2023-11,165.95
2023-12,158.21
2024-01,283.11
2024-02,338.35
2024-03,360.67
2024-04,281.9
2024-05,29.2
2024-06,74.4
2024-07,38.48
2024-08,13.86
2024-09,54.97
2024-10,55.01
2024-11,278.22
2024-12,507.35
